code,name,category
90471,Oluchukwu Microfinance Bank,9
90472,Caretaker Microfinance Bank,9
90473,Assets Microfinance Bank,9
90474,Verdant Microfinance Bank,9
90475,Giant Stride Microfinance Bank,9
90476,Anchorage  Microfinance Bank ,9
90477,Light MFB,9
90482,Fedeth Microfinance Bank,9
90483,Ada Microfinance Bank,9
90489,Alvana Microfinance Bank,9
90490,Chukwunenye MFB,9
90491,Nsuk MFB,9
90492,Oraukwu MFB,9
90494,Boji MFB,9
90495,Goodnews Microfinance Bank,9
90499,Pristine Divitis Microfinance Bank,9
90502,Shalom Microfinance Bank,9
90503,Projects Microfinance Bank,9
90504,Zikora Microfinance Bank,9
90505,Nigerian Prisons Microfinance Bank,9
90506,Solid Allianze MFB,9
90507,FIMS MFB,9
90513,SEAP Microfinance Bank,9
90515,RIMA Growth Pathway Microfinance Bank,9
90517,Uhuru Microfinance Bank,9
90590,Waya Microfinance Bank,9
100001,FET,10
100002,Paga,10
100003,Parkway-ReadyCash,10
100004,Paycom(Opay),10
100005,Cellulant,10
100006,eTranzact,10
100007,Stanbic IBTC @ease wallet,10
100008,Ecobank Xpress Account,10
100009,GTMobile,10
100010,TeasyMobile,10
100011,Mkudi,10
100012,VTNetworks,10
100013,AccessMobile,10
100014,FBNMobile,10
100016,FortisMobile,10
100017,Hedonmark,10
100018,ZenithMobile,10
100019,Fidelity Mobile,10
100020,MoneyBox,10
100021,Eartholeum,10
100022,GoMoney,10
100023,TagPay,10
100024,Imperial Homes Mortgage Bank,7
100025,Zinternet Nigera Limited,10
100026,One Finance,10
100027,Intellifin,11
100028,AG Mortgage Bank,7
100029,Innovectives Kesh,10
100030,EcoMobile,10
100031,FCMB Easy Account,10
100032,Contec Global Infotech Limited (NowNow),10
100033,PalmPay Limited,10
100034,Zenith Eazy Wallet,10
100035,M36,10
100036,Kegow (Chamsmobile),10
100052,Access Yello,10
110001,PayAttitude Online,11
110002,Flutterwave Technology Solutions Limited,11
110003,Interswitch Limited,11
110004,First Apple Limited,11
110005,3line Card Management Limited,11
110006,Paystack Payment Limited,11
110007,Teamapt Limited,11
110014,Cyberspace Limited,11
110015,Vas2nets Limited,11
110017,Crowdforce,11
120001,9Payment Service Bank,12
120002,HopePSB,12
120003,MoMo PSB,12
120004,SmartCash PSB,12
400001,FSDH Merchant Bank,6
999999,NIP Virtual Bank,11
